Company,Website,Size Category,Employee Count Range,Funding Stage,Head of RevOps/CMO/VP Sales,Persona Title,Recent Signal,Pain Point Indicator,Score,Scoring Rationale
Qualified.io,qualified.com,Small,50-150,Series B,Sarah Miller,VP Sales,"$17M Series B Feb 2024","Multiple GTM tools",5,"High intent signal - recent large funding for sales acceleration platform"
Chili Piper,chili.io,Medium,150-400,Series B,Nicole Goolsby,VP Marketing,"$54M Series B 2023, expanding globally","Complex meeting workflows",5,"Strong fit - meeting scheduling is core RevOps pain point"
Walnut,walnut.io,Medium,100-300,Series B,Adi Shimoni,VP Sales,"$35M Series B 2022, 3x growth since","Multiple demo tools",5,"Demo platform creates natural GTM complexity signal"
Klaviyo,klaviyo.com,Large,300-500+,Series C,"Andrew Bialecki,CEO, handles GTM","CEO-led GTM","Pre-IPO, massive hiring in Sales Ops","Complex martech stack",5,"Enterprise-grade complexity, strong RevOps hiring signals"
Outreach,outreach.io,Large,500+,Series G (still qualifies as growth),
Howard Brown,Chief Revenue Officer,"Public company readiness, constant RevOps hiring","Multiple platform integrations",5,"Category leader with ongoing GTM tool complexity"
Salesloft,salesloft.com,Large,500+,Series E,Erika Trautman,SVP Marketing,"Acquired by Vista 2023, growth surge","Sales engagement complexity",5,"Major platform with inherent GTM complexity needs"
Gong,gong.io,Large,500+,Series E,Chris von Huene,Chief Revenue Officer,"AI revenue intelligence momentum","Data silos across tools",5,"AI signal + revenue intelligence = core RevOps need"
Lavender,lavender.ai,Small,20-100,Series A,Will Allred,CEO/Co-founder,"$13M Series A 2023","Email outreach complexity",4,"Early stage but hot category, clear GTM pain point"
Regie.AI,regie.ai,Small,50-150,Series A,Matt Millen,VP Sales,"$20M Series A 2024","AI content orchestration",4,"Recent funding, AI-native GTM tools"
Dooly,dooly.ai,Small,50-150,Series B,Kris Hartvigsen,CEO,"$80M Series B 2021, expanding features","CRM data hygiene",4,"Note-taking sales tool with RevOps adjacency"
Apollo.io,apollo.io,Medium,150-400,Series C,Tim Zheng,CEO/Founder,"$100M Series C 2022","Data platform complexity",5,"All-in-one platform signals GTM consolidation need"
6sense,6sense.com,Large,500+,Series E,Amanda Wilson,VP Revenue Ops,"$200M Series E 2022","Intent data complexity",5,"Enterprise intent platform = inherent RevOps complexity"
Demandbase,demandbase.com,Large,500+,Series F,Megan Heuer,VP Marketing,"Series F 2022, ABM leader","ABM orchestration complexity",5,"Category creator with multi-tool GTM stacks"
Drift,drift.com,Large,400-500,Series C,Jason Finkelstein,VP Sales,"$60M Series C, expansion mode","Conversational marketing stack",4,"Growth trajectory with GTM complexity signals"
Terminus,terminus.com,Medium,200-400,Series C,Sabrina Hockett,VP RevOps,"ABM platform consolidation","Multiple ABM tools",4,"ABM-specific tools create integration challenges"
RollWorks,rollworks.com,Medium,150-350,Series B,Daniel Frohnen,CMO,"NextRoll subsidiary growth","Adtech + martech complexity",4,"Account-based advertising creates data complexity"
Sendoso,sendoso.com,Medium,200-400,Series C,Kris Rudeegraap,CEO,"$100M Series C 2021","Direct mail + digital orchestration",4,"Multi-channel GTM creates execution complexity"
Vidyard,vidyard.com,Medium,150-350,Series B,Michael Litt,CEO,"Series B extension 2022","Video platform silo",3,"Video tools often disconnected from GTM stack"
Hightouch,hightouch.io,Small,100-250,Series B,Josh Curl,VP Sales,"$38M Series B 2022","Reverse ETL complexity",4,"Data activation creates natural RevOps pain point"
Census,census.io,Small,50-200,Series B,Daniel Shi,CEO,"$60M Series B 2022","Data sync complexity",4,"Operations tool directly addressing GTM data pain"
Syncari,syncari.com,Small,50-150,Series A,Maureen Little,VP Marketing,"$20M Series A 2022","Data unification pain",4,"Data automation directly solves RevOps problem"
Workato,workato.com,Large,400-600,Series B,Vijay Tella,CEO,"$200M Series B 2021","Integration complexity",5,"iPaaS for GTM integrations = core RevOps need"
MuleSoft,mulesoft.com,Large,1000+,Acquired (still qualifies),Simon Parmett,President,"Salesforce acquisition, enterprise scale","Enterprise integration chaos",4,"Integration legacy = GTM complexity but acquisition status"
Tray.io,tray.io,Medium,200-400,Series C,Rich Waldron,CEO,"$100M Series C 2021","Workflow automation gaps",4,"Automation platform with GTM use cases"
Zapier,zapier.com,Large,500+,Series A/Secondary,Wade Foster,CEO,"Late-stage secondary, massive scale","DIY automation complexity",4,"Consumer-turned-B2B with scaling GTM challenges"
PandaDoc,pandadoc.com,Medium,200-400,Series B,Mikita Mikado,CEO,"$51M Series B, PLG + Sales hybrid","Document workflow complexity",4,"Sales document platform with GTM integration needs"
Conga,conga.com,Large,400-600,Acquisition (Thoma Bravo),Tim Heys,senior VP Sales,"Thoma Bravo acquisition 2020","Document automation complexity",3,"Stable but less growth signal, owned by PE"
DocuSign (GenAI products),docusign.com,Large,5000+,Public,Isaac Oslund,VP AI Products,"GenAI product expansion","CLM + eSignature complexity",3,"Public company, limited startup agility"
Ironclad,ironcladapp.com,Medium,200-400,Series D,
Jason Boehmig,CEO,"$100M Series B 2021","Contract management complexity",4,"Legal ops intersecting RevOps data needs"
LinkSquares,linksquares.com,Medium,150-350,Series B,Vishal Sunak,CEO,"$52M Series B 2022","Contract analytics complexity",4,"Legal platform with sales contract workflows"
SpotDraft,spotdraft.com,Small,100-250,Series B,
ShunRao,VP Sales,"$26M Series B 2023","Contract lifecycle management",4,"India-based with US expansion, growth signals"
Clay.run,clay.run,Small,50-150,Series B,Kareem Amin,CEO,"$46M Series B 2024","Data enrichment complexity",5,"Hot 2024 funding, direct RevOps adjacency"
Clearbit,clearbit.com,Medium,100-200,Acquired (HubSpot),Matt Sornson,CMO,"HubSpot acquisition 2023","Data enrichment fragmentation",4,"Acquisition creates change = opportunity"
ZoomInfo,zoominfo.com,Large,1000+,Public,Henry Schuck,CEO,"Public company, constant innovation","Data provider complexity",3,"Public, may have locked-in RevOps vendors"
Lusha,lusha.com,Medium,200-400,Series B,Yoni Tserruya,CEO,"$193M Series B 2022","Contact data complexity",4,"Funded growth in competitive category"
Seamless.ai,seamless.ai,Small,100-250,Series A,Michael Pedone,CEO,"$100M+ growth funding","Real-time data needs",4,"Recent funding, AI-powered data"
Nooks,nooks.ai,Small,50-150,Series A,Dan Lee,CEO,"$22M Series A 2023","Parallel dialing complexity",4,"Hot category, workflow integration needs"
Orum,orum.com,Small,100-200,Series B,Jason Dorfman,CEO,"$29M Series B 2022","Sales dialer fragmentation",4,"Power dialer with CRM complexity"
Aircall,aircall.io,Medium,300-500,Series D,Olivier Pailhes,CEO,"$120M Series D 2021","Phone system integration",4,"Voice platform with growing GTM complexity"
Front,front.com,Medium,300-500,Series D,Mathilde Collin,CEO,"$65M Series D 2022","Shared inbox complexity",4,"Communication platform with sales ops needs"
Groove,groove.co,Medium,100-250,Series B,
Chris Rothstein,CEO,"Salesforce native growth","Salesforce-native complexity",3,"SFDC dependent but strong product-market fit"
VanillaSoft,vanillasoft.com,Small,50-200,Series A,Dirk Siefkes,CEO,"Inside sales platform consolidation","Legacy system challenges",3,"Smaller, niche player"
Membrain,membrain.com,Small,100-200,Series A,George Brontén,CEO,"Sales enablement platform","Methodology + tech complexity",3,"Niche sales methodology focus"
Ambition,ambition.com,Small,50-150,Series B,Travis Truett,CEO,"$20M Series B 2021","Sales motivation platform","Gamification silos",3,"Niche use case, moderate signal"
LevelEleven,leveleleven.com,Small,50-150,Series A,Bob Marsh,CEO,"Sales performance platform","Performance data complexity",3,"Salesforce ecosystem player"
Brainshark,brainshark.com,Medium,150-300,Series B,
Gabe Hummel,CEO,"Sales readiness platform","Training + execution gaps",3,"Sales training niche"
Mindtickle,mindtickle.com,Large,400-600,Series F,Krishna Depura,CEO,"$100M Series F 2020","Revenue readiness complexity",4,"Late-stage with GTM execution focus"
Showpad,showpad.com,Medium,200-400,Series C,
Louis Jonckheere,CEO,"Sales enablement platform","Content management complexity",4,"Content + training platform friction"
Jiminny,jiminny.com,Small,50-150,Series A,
Tom Lavery,CEO,"$15M Series A 2023","Conversation intelligence","Post-call workflow gaps",4,"Recent funding, new category entrant"
ExecVision,execvision.io,Small,50-150,Series B,
